query,frequency_current,timestamp_current,frequency_previous,timestamp_previous,growthRate,category
barbie linen dress hot pink tank top,0.0,,112.0,2024-03-08,-0.99,fashion
barbie parka,103.0,2025-03-07,0.0,,103.0,misc
barbie pearl hot pink shirt,0.0,,56.0,2024-03-13,-0.98,fashion
barbie pearl hot pink sneakers,0.0,,141.0,2024-03-26,-0.99,footwear
barbie platform heels iridescent dress,0.0,,50.0,2024-03-22,-0.98,fashion
barbie sandals,70.0,2025-03-15,0.0,,70.0,footwear
barbie tailored trousers hot pink crop top,0.0,,73.0,2024-03-12,-0.99,fashion
barbie trench coat,112.0,2025-03-19,69.0,2024-03-30,0.61,fashion
basket bag dress,93.0,2025-03-04,0.0,,93.0,fashion
basket bag flats,77.0,2025-03-09,0.0,,77.0,footwear
basket bag platform heels glitter dress,105.0,2025-03-31,0.0,,105.0,fashion
beige,3491.0,2025-03-04,2897.0,2024-03-03,0.2,misc
beige black striped jacket,122.0,2025-03-06,0.0,,122.0,fashion
beige blouse,179.0,2025-03-09,96.0,2024-03-17,0.86,misc
beige bomber jacket,133.0,2025-03-20,141.0,2024-03-05,-0.06,fashion
beige bomber jacket longline jumpsuit,0.0,,95.0,2024-03-14,-0.99,fashion
beige boots,0.0,,325.0,2024-03-10,-1.0,footwear
beige cardigan,0.0,,192.0,2024-03-02,-0.99,misc
beige cardigan vintage jumpsuit,148.0,2025-03-18,0.0,,148.0,fashion
beige cashmere soft white leggings,145.0,2025-03-08,0.0,,145.0,fashion
beige coat,118.0,2025-03-22,218.0,2024-03-05,-0.46,fashion
beige crop top,110.0,2025-03-08,377.0,2024-03-04,-0.71,fashion
beige cropped cotton coat,0.0,,62.0,2024-03-13,-0.98,fashion
beige fall new tank top,55.0,2025-03-16,0.0,,55.0,fashion
beige fall women romper,0.0,,145.0,2024-03-22,-0.99,fashion
beige fitted oversized coat,0.0,,127.0,2024-03-07,-0.99,fashion
beige flats,143.0,2025-03-18,0.0,,143.0,footwear
beige floral cardigan jacket,99.0,2025-03-15,0.0,,99.0,fashion
beige heels,100.0,2025-03-15,121.0,2024-03-02,-0.17,footwear
beige hoodie,172.0,2025-03-13,137.0,2024-03-29,0.25,fashion
beige jacket,295.0,2025-03-03,142.0,2024-03-28,1.07,fashion
beige jeans,112.0,2025-03-13,0.0,,112.0,fashion
beige jumpsuit,502.0,2025-03-14,0.0,,502.0,fashion
beige leather fitted pullover,87.0,2025-03-07,0.0,,87.0,misc
beige leggings,51.0,2025-03-18,136.0,2024-03-13,-0.62,fashion
beige lightweight transitional jeans,0.0,,140.0,2024-03-01,-0.99,fashion
beige linen bomber jacket parka,139.0,2025-03-07,0.0,,139.0,fashion
beige linen denim sandals,127.0,2025-03-07,0.0,,127.0,fashion
beige loafer,0.0,,79.0,2024-03-18,-0.99,misc
beige longline men jeans,0.0,,68.0,2024-03-20,-0.99,fashion
beige longline women boots,101.0,2025-03-07,0.0,,101.0,footwear
beige loose solid crop top,86.0,2025-03-28,0.0,,86.0,fashion
beige loose tall tshirt,105.0,2025-03-23,0.0,,105.0,fashion
beige men lowrise trench coat,133.0,2025-03-10,0.0,,133.0,fashion
beige men midrise skirt,141.0,2025-03-17,0.0,,141.0,fashion
beige men vintage coat,0.0,,98.0,2024-03-13,-0.99,fashion
beige midrise loose sandals,131.0,2025-03-22,0.0,,131.0,footwear
beige minimalist fit stockings leggings,0.0,,134.0,2024-03-26,-0.99,fashion
beige new striped skirt,0.0,,95.0,2024-03-16,-0.99,fashion
beige olive bomber jacket jacket,138.0,2025-03-11,0.0,,138.0,fashion
beige pants,129.0,2025-03-20,0.0,,129.0,fashion
beige parka,64.0,2025-03-25,196.0,2024-03-19,-0.67,misc
beige pastel highwaisted tshirt,0.0,,64.0,2024-03-02,-0.98,fashion
beige pastel sleeveless coat,88.0,2025-03-29,0.0,,88.0,fashion
beige pastel striped coat,0.0,,127.0,2024-03-28,-0.99,fashion
beige plaid cropped tank top,111.0,2025-03-14,0.0,,111.0,fashion
beige plaid denim boots,101.0,2025-03-17,0.0,,101.0,fashion
beige plaid transitional hoodie,0.0,,110.0,2024-03-20,-0.99,fashion
beige plus size summer tank top,80.0,2025-03-17,0.0,,80.0,fashion
beige printed lowrise windbreaker,113.0,2025-03-29,0.0,,113.0,misc
beige pullover,109.0,2025-03-07,116.0,2024-03-03,-0.06,misc
beige romper,344.0,2025-03-16,286.0,2024-03-08,0.2,fashion
beige sandals,94.0,2025-03-02,231.0,2024-03-14,-0.59,footwear
beige shirt,101.0,2025-03-23,92.0,2024-03-13,0.1,fashion
beige shorts,120.0,2025-03-24,207.0,2024-03-03,-0.42,fashion
beige skirt,310.0,2025-03-04,377.0,2024-03-01,-0.18,fashion
beige slides,124.0,2025-03-07,233.0,2024-03-06,-0.47,misc
beige sneakers,167.0,2025-03-10,159.0,2024-03-01,0.05,footwear
beige soft white bows parka,0.0,,130.0,2024-03-11,-0.99,misc
beige soft white minimalist fit flats,66.0,2025-03-10,0.0,,66.0,footwear
beige soft white minimalist fit heels,0.0,,149.0,2024-03-17,-0.99,footwear
beige soft white minimalist fit jacket,0.0,,50.0,2024-03-15,-0.98,fashion
beige soft white minimalist fit jumpsuit,0.0,,115.0,2024-03-24,-0.99,fashion
beige soft white minimalist fit sneakers,0.0,,107.0,2024-03-01,-0.99,footwear
beige soft white stockings pants,136.0,2025-03-20,0.0,,136.0,fashion
beige solid spring skirt,124.0,2025-03-16,0.0,,124.0,fashion
beige spring transitional hoodie,143.0,2025-03-30,0.0,,143.0,fashion
beige stockings soft white windbreaker,65.0,2025-03-28,0.0,,65.0,misc
beige striped spring dress,130.0,2025-03-24,0.0,,130.0,fashion
beige summer unisex heels,0.0,,140.0,2024-03-31,-0.99,footwear
beige sweater,123.0,2025-03-03,0.0,,123.0,fashion
beige tank top,115.0,2025-03-12,0.0,,115.0,fashion
beige trench coat,0.0,,217.0,2024-03-03,-1.0,fashion
beige tshirt,134.0,2025-03-22,0.0,,134.0,fashion
beige unisex lightweight parka,74.0,2025-03-05,0.0,,74.0,misc
beige windbreaker,82.0,2025-03-03,0.0,,82.0,misc
beige winter lowrise sandals,88.0,2025-03-12,0.0,,88.0,footwear
beige women midrise crop top,0.0,,118.0,2024-03-18,-0.99,fashion
belted jacket black lace corset shirt,116.0,2025-03-13,0.0,,116.0,fashion
belted jacket corset velvet coat,88.0,2025-03-26,0.0,,88.0,fashion
belted jacket drawstring pant cargo skirt jumpsuit,0.0,,118.0,2024-03-31,-0.99,fashion
belted jacket heels,79.0,2025-03-08,0.0,,79.0,fashion
belted jacket leggings,0.0,,52.0,2024-03-29,-0.98,fashion
belted jacket shirt,0.0,,147.0,2024-03-24,-0.99,fashion
belted jacket shorts,134.0,2025-03-21,0.0,,134.0,fashion
black,2202.0,2025-03-01,1914.0,2024-03-04,0.15,misc
black beige tall boots,0.0,,104.0,2024-03-11,-0.99,footwear
black blouse,490.0,2025-03-11,219.0,2024-03-08,1.23,misc
black bomber jacket,65.0,2025-03-12,133.0,2024-03-28,-0.51,fashion
black boots,58.0,2025-03-14,149.0,2024-03-05,-0.61,footwear
black cardigan,63.0,2025-03-23,0.0,,63.0,misc
black coat,129.0,2025-03-20,66.0,2024-03-28,0.94,fashion
black crop top,54.0,2025-03-01,94.0,2024-03-01,-0.42,fashion
black dress,117.0,2025-03-04,82.0,2024-03-07,0.42,fashion
black fall loose jeans,111.0,2025-03-28,0.0,,111.0,fashion
black fall plaid skirt,112.0,2025-03-11,0.0,,112.0,fashion
black fall summer loafer,0.0,,133.0,2024-03-13,-0.99,misc
black fall white skirt,0.0,,146.0,2024-03-14,-0.99,fashion
black flats,158.0,2025-03-22,92.0,2024-03-06,0.71,footwear
black floral trendy trench coat,65.0,2025-03-09,0.0,,65.0,fashion
black heels,113.0,2025-03-01,156.0,2024-03-01,-0.27,footwear
black highwaisted organic sneakers,0.0,,141.0,2024-03-29,-0.99,footwear
black highwaisted slim fit shorts,130.0,2025-03-05,0.0,,130.0,fashion
black hoodie,390.0,2025-03-05,224.0,2024-03-20,0.74,fashion
black jacket,220.0,2025-03-19,214.0,2024-03-12,0.03,fashion
black jeans,188.0,2025-03-01,71.0,2024-03-13,1.62,fashion
black jumpsuit,63.0,2025-03-31,0.0,,63.0,fashion
black lace,244.0,2025-03-07,103.0,2024-03-22,1.36,misc
black lace belted jacket drawstring pant boots,0.0,,94.0,2024-03-17,-0.99,fashion
black lace belted jacket velvet romper,57.0,2025-03-16,0.0,,57.0,fashion
black lace belted jacket velvet trench coat,0.0,,111.0,2024-03-21,-0.99,fashion
black lace corset drawstring pant coat,70.0,2025-03-27,0.0,,70.0,fashion
black lace crop top,106.0,2025-03-05,0.0,,106.0,fashion
black lace deep red all black shorts,110.0,2025-03-27,0.0,,110.0,fashion
black lace drawstring pant corset dress,0.0,,141.0,2024-03-10,-0.99,fashion
black lace jacket,0.0,,94.0,2024-03-02,-0.99,fashion
black lace jeans,121.0,2025-03-05,0.0,,121.0,fashion
black lace pullover,106.0,2025-03-07,236.0,2024-03-10,-0.55,misc
black lace romper,165.0,2025-03-03,0.0,,165.0,fashion
black lace sandals,140.0,2025-03-20,0.0,,140.0,footwear
black lace shirt,105.0,2025-03-08,0.0,,105.0,fashion
black lace shorts,0.0,,121.0,2024-03-01,-0.99,fashion
black lace slides,57.0,2025-03-07,0.0,,57.0,misc
black lace trench coat,67.0,2025-03-21,0.0,,67.0,fashion
black lace tshirt,0.0,,146.0,2024-03-23,-0.99,fashion
black lace velvet belted jacket pullover,0.0,,123.0,2024-03-17,-0.99,fashion
black lace velvet corset hoodie,0.0,,127.0,2024-03-27,-0.99,fashion
black leather pastel loafer,127.0,2025-03-28,0.0,,127.0,misc
black leather unisex slides,73.0,2025-03-19,0.0,,73.0,misc
black leggings,66.0,2025-03-28,157.0,2024-03-22,-0.58,fashion
black linen olive cardigan,0.0,,94.0,2024-03-13,-0.99,misc
black longline bomber jacket loafer,0.0,,74.0,2024-03-26,-0.99,fashion
black loose lightweight crop top,142.0,2025-03-04,0.0,,142.0,fashion
black lowrise petite sandals,0.0,,83.0,2024-03-13,-0.99,footwear
black lowrise trendy coat,0.0,,86.0,2024-03-22,-0.99,fashion
black navy white dress,57.0,2025-03-25,0.0,,57.0,fashion
black olive pastel tank top,60.0,2025-03-21,0.0,,60.0,fashion
black olive sleeveless shorts,0.0,,63.0,2024-03-01,-0.98,fashion
black olive white boots,0.0,,139.0,2024-03-05,-0.99,footwear
black pants,62.0,2025-03-07,96.0,2024-03-03,-0.35,fashion
black parka,103.0,2025-03-16,0.0,,103.0,misc
black petite wool dress,0.0,,73.0,2024-03-13,-0.99,fashion
black plus size pastel jumpsuit,144.0,2025-03-21,0.0,,144.0,fashion
black printed transitional slides,0.0,,88.0,2024-03-14,-0.99,misc
black pullover,114.0,2025-03-19,230.0,2024-03-10,-0.5,misc
black romper,61.0,2025-03-01,0.0,,61.0,fashion
black sandals,212.0,2025-03-23,254.0,2024-03-17,-0.16,footwear
black shirt,136.0,2025-03-14,191.0,2024-03-06,-0.29,fashion
black shorts,115.0,2025-03-05,113.0,2024-03-25,0.02,fashion
black skirt,254.0,2025-03-01,0.0,,254.0,fashion
black slides,72.0,2025-03-18,189.0,2024-03-27,-0.62,misc
black slim fit beige shirt,94.0,2025-03-23,0.0,,94.0,fashion
black sneakers,134.0,2025-03-04,0.0,,134.0,footwear
black striped fall boots,79.0,2025-03-20,0.0,,79.0,footwear
black striped petite windbreaker,0.0,,141.0,2024-03-03,-0.99,misc
black summer petite parka,0.0,,88.0,2024-03-05,-0.99,misc
black summer sleeveless tank top,0.0,,93.0,2024-03-25,-0.99,fashion
black summer spring leggings,98.0,2025-03-16,0.0,,98.0,fashion
black sweater,121.0,2025-03-09,176.0,2024-03-03,-0.31,fashion
black tank top,94.0,2025-03-06,331.0,2024-03-05,-0.71,fashion
black trench coat,328.0,2025-03-23,160.0,2024-03-22,1.04,fashion
black trendy white boots,129.0,2025-03-02,0.0,,129.0,footwear
black tshirt,217.0,2025-03-13,126.0,2024-03-06,0.72,fashion
black vintage minimalist jumpsuit,0.0,,106.0,2024-03-13,-0.99,fashion
black vintage pastel blouse,74.0,2025-03-07,0.0,,74.0,misc
black winter summer jumpsuit,0.0,,73.0,2024-03-31,-0.99,fashion
black wool bomber jacket sandals,0.0,,69.0,2024-03-26,-0.99,fashion
black wool striped jacket,0.0,,120.0,2024-03-08,-0.99,fashion
blouse,1731.0,2025-03-01,2704.0,2024-03-01,-0.36,misc
bold layering clashing print matching set heels,0.0,,57.0,2024-03-12,-0.98,fashion
bold layering clashing print sports bra crop top,65.0,2025-03-19,0.0,,65.0,fashion
bold layering clashing print sports bra pants,62.0,2025-03-17,0.0,,62.0,fashion
bold layering dress,0.0,,95.0,2024-03-23,-0.99,fashion
bold layering heels,144.0,2025-03-18,0.0,,144.0,footwear
bold layering matching set sports bra sandals,128.0,2025-03-18,0.0,,128.0,fashion
bold layering parka,148.0,2025-03-12,0.0,,148.0,accessories
bomber jacket,2659.0,2025-03-02,2299.0,2024-03-01,0.16,fashion
bomber jacket black longline shorts,68.0,2025-03-19,0.0,,68.0,fashion
bomber jacket blouse,132.0,2025-03-10,429.0,2024-03-06,-0.69,fashion
bomber jacket bomber jacket,66.0,2025-03-13,50.0,2024-03-30,0.31,fashion
bomber jacket cardigan,0.0,,120.0,2024-03-17,-0.99,fashion
bomber jacket coat,160.0,2025-03-02,112.0,2024-03-04,0.42,fashion
bomber jacket cotton summer jeans,83.0,2025-03-25,0.0,,83.0,fashion
bomber jacket cotton winter flats,0.0,,136.0,2024-03-16,-0.99,fashion
bomber jacket cropped fall parka,0.0,,88.0,2024-03-12,-0.99,fashion
bomber jacket cropped leather pullover,100.0,2025-03-15,0.0,,100.0,fashion
bomber jacket denim plus size shirt,0.0,,73.0,2024-03-12,-0.99,fashion
bomber jacket fall white windbreaker,67.0,2025-03-27,0.0,,67.0,fashion
bomber jacket fitted lowrise coat,81.0,2025-03-07,0.0,,81.0,fashion
bomber jacket flats,132.0,2025-03-14,347.0,2024-03-08,-0.62,fashion
bomber jacket floral winter sneakers,0.0,,135.0,2024-03-10,-0.99,fashion
bomber jacket heels,0.0,,396.0,2024-03-07,-1.0,fashion
bomber jacket hoodie,112.0,2025-03-17,0.0,,112.0,fashion
bomber jacket jacket,106.0,2025-03-12,141.0,2024-03-01,-0.25,fashion
bomber jacket jeans,0.0,,58.0,2024-03-04,-0.98,fashion
bomber jacket jumpsuit,0.0,,327.0,2024-03-04,-1.0,fashion
bomber jacket leggings,0.0,,162.0,2024-03-20,-0.99,fashion
bomber jacket loafer,143.0,2025-03-31,191.0,2024-03-08,-0.25,fashion
bomber jacket midrise sleeveless windbreaker,0.0,,148.0,2024-03-11,-0.99,fashion
bomber jacket olive wool jacket,0.0,,147.0,2024-03-25,-0.99,fashion
bomber jacket oversized lightweight shirt,0.0,,99.0,2024-03-22,-0.99,fashion
bomber jacket oversized longline trench coat,0.0,,104.0,2024-03-09,-0.99,fashion
bomber jacket oversized wool shirt,0.0,,86.0,2024-03-26,-0.99,fashion
bomber jacket pants,175.0,2025-03-11,0.0,,175.0,fashion
bomber jacket parka,0.0,,88.0,2024-03-25,-0.99,fashion
bomber jacket pullover,331.0,2025-03-03,402.0,2024-03-05,-0.18,fashion
bomber jacket sandals,0.0,,118.0,2024-03-01,-0.99,fashion
bomber jacket shirt,439.0,2025-03-12,391.0,2024-03-02,0.12,fashion
bomber jacket shorts,146.0,2025-03-03,111.0,2024-03-23,0.31,fashion
bomber jacket sleeveless minimalist jeans,59.0,2025-03-25,0.0,,59.0,fashion
bomber jacket sleeveless navy dress,76.0,2025-03-23,0.0,,76.0,fashion
bomber jacket slides,64.0,2025-03-12,96.0,2024-03-14,-0.33,fashion
bomber jacket sneakers,184.0,2025-03-13,222.0,2024-03-01,-0.17,fashion
bomber jacket spring highwaisted dress,0.0,,83.0,2024-03-25,-0.99,fashion
bomber jacket spring striped sandals,116.0,2025-03-17,0.0,,116.0,fashion
bomber jacket summer floral loafer,0.0,,89.0,2024-03-30,-0.99,fashion
bomber jacket summer lightweight trench coat,0.0,,57.0,2024-03-19,-0.98,fashion
bomber jacket sweater,123.0,2025-03-28,117.0,2024-03-06,0.05,fashion
bomber jacket tank top,356.0,2025-03-21,0.0,,356.0,fashion
bomber jacket transitional tall loafer,60.0,2025-03-09,0.0,,60.0,fashion
bomber jacket trench coat,0.0,,449.0,2024-03-17,-1.0,fashion
bomber jacket tshirt,0.0,,230.0,2024-03-03,-1.0,fashion
bomber jacket white fitted jumpsuit,0.0,,90.0,2024-03-17,-0.99,fashion
bomber jacket white wool skirt,0.0,,139.0,2024-03-08,-0.99,fashion
bomber jacket women navy sneakers,143.0,2025-03-05,0.0,,143.0,fashion
bomber jacket wool oversized tshirt,0.0,,57.0,2024-03-08,-0.98,fashion
bomber jacket wool striped cardigan,0.0,,117.0,2024-03-26,-0.99,fashion
boots,3175.0,2025-03-02,3175.0,2024-03-03,0.0,footwear
boots mushroom fungi shorts,145.0,2025-03-03,0.0,,145.0,fashion
boots shorts,0.0,,80.0,2024-03-17,-0.99,fashion
bows,147.0,2025-03-04,384.0,2024-03-05,-0.62,misc
bows cashmere tailored trousers parka,0.0,,139.0,2024-03-23,-0.99,fashion
bows jumpsuit,138.0,2025-03-01,0.0,,138.0,fashion
bows lace combat boot skirt,99.0,2025-03-29,0.0,,99.0,fashion
bows lace minimalist fit cardigan,0.0,,109.0,2024-03-06,-0.99,misc
bows lace stockings cardigan,0.0,,67.0,2024-03-03,-0.99,misc
bows lace stockings dress,0.0,,51.0,2024-03-29,-0.98,fashion
bows loafer,0.0,,131.0,2024-03-04,-0.99,misc
bows mesh wings loafer,102.0,2025-03-27,0.0,,102.0,misc
bows minimalist fit soft white hoodie,0.0,,69.0,2024-03-08,-0.99,fashion
bows shorts,0.0,,217.0,2024-03-11,-1.0,fashion
bows skirt,148.0,2025-03-25,0.0,,148.0,fashion
bows tailored trousers lace skirt,120.0,2025-03-13,0.0,,120.0,fashion
bows trench coat,97.0,2025-03-17,0.0,,97.0,fashion
breathable,1237.0,2025-03-06,471.0,2024-03-05,1.62,misc
bright yellow,194.0,2025-03-10,390.0,2024-03-06,-0.5,misc
bright yellow all black deep red coat,101.0,2025-03-16,0.0,,101.0,fashion
bright yellow cardigan,69.0,2025-03-27,0.0,,69.0,misc
bright yellow cowboy boots denim skirt sneakers,141.0,2025-03-19,0.0,,141.0,fashion
bright yellow cowboy boots fuchsia sneakers,0.0,,64.0,2024-03-05,-0.98,footwear
bright yellow dress,0.0,,94.0,2024-03-30,-0.99,fashion
bright yellow fuchsia playful pattern romper,0.0,,87.0,2024-03-22,-0.99,fashion
bright yellow fuchsia playful pattern sneakers,124.0,2025-03-23,0.0,,124.0,footwear
bright yellow gold chain fuchsia blouse,0.0,,68.0,2024-03-08,-0.99,misc
bright yellow hoodie,0.0,,54.0,2024-03-09,-0.98,fashion
bright yellow jacket,54.0,2025-03-30,0.0,,54.0,fashion
bright yellow jumpsuit,0.0,,70.0,2024-03-10,-0.99,fashion
bright yellow leggings,0.0,,103.0,2024-03-24,-0.99,fashion
bright yellow loafer,139.0,2025-03-11,0.0,,139.0,misc
bright yellow pants,0.0,,211.0,2024-03-02,-1.0,fashion
bright yellow parka,0.0,,117.0,2024-03-28,-0.99,misc
bright yellow playful pattern fuchsia blouse,119.0,2025-03-21,0.0,,119.0,misc
bright yellow playful pattern leopard print pants,98.0,2025-03-27,0.0,,98.0,fashion
bright yellow playful pattern neutral palette sweater,125.0,2025-03-04,0.0,,125.0,fashion
bright yellow tshirt,0.0,,184.0,2024-03-14,-0.99,fashion
bright yellow unisex cut playful pattern romper,145.0,2025-03-12,0.0,,145.0,fashion
bucket hat,0.0,,138.0,2024-03-14,-0.99,accessories
bucket hat cardigan,128.0,2025-03-13,0.0,,128.0,accessories
bucket hat cottage puff sleeves crop top,138.0,2025-03-20,0.0,,138.0,fashion
bucket hat straw bag milkmaid blouse shirt,0.0,,132.0,2024-03-14,-0.99,fashion
butterfly clip,0.0,,58.0,2024-03-16,-0.98,misc
butterfly clip heels,0.0,,197.0,2024-03-22,-0.99,footwear
butterfly clip jumpsuit,0.0,,54.0,2024-03-02,-0.98,fashion
butterfly clip printed mesh hello kitty crop top,133.0,2025-03-23,0.0,,133.0,fashion
butterfly clip sweater,0.0,,108.0,2024-03-06,-0.99,fashion
butterfly clip sweater vest thick frames blouse,0.0,,94.0,2024-03-02,-0.99,fashion
butterfly clip sweater vest thick frames tshirt,0.0,,96.0,2024-03-12,-0.99,fashion
butterfly clip unisex cut neutral palette flats,99.0,2025-03-18,0.0,,99.0,footwear
butterfly clip windbreaker,0.0,,74.0,2024-03-15,-0.99,misc
camel coat,116.0,2025-03-21,364.0,2024-03-20,-0.68,fashion
camel coat barbie platform heels crop top,0.0,,54.0,2024-03-17,-0.98,fashion
camel coat cashmere minimalist fit sweater,0.0,,66.0,2024-03-02,-0.99,fashion
camel coat cashmere tailored trousers cardigan,0.0,,58.0,2024-03-10,-0.98,fashion
camel coat coat,142.0,2025-03-14,0.0,,142.0,fashion
camel coat dress,111.0,2025-03-12,0.0,,111.0,fashion
camel coat flats,0.0,,128.0,2024-03-20,-0.99,fashion
camel coat heels,96.0,2025-03-12,0.0,,96.0,fashion
camel coat jacket,107.0,2025-03-21,125.0,2024-03-23,-0.14,fashion
camel coat jeans,190.0,2025-03-14,0.0,,190.0,fashion
camel coat jumpsuit,54.0,2025-03-21,86.0,2024-03-30,-0.37,fashion
camel coat lace tailored trousers blouse,140.0,2025-03-30,0.0,,140.0,fashion
camel coat lace tailored trousers crop top,53.0,2025-03-14,0.0,,53.0,fashion
camel coat loafer,0.0,,98.0,2024-03-13,-0.99,fashion
camel coat parka,72.0,2025-03-25,0.0,,72.0,fashion
camel coat platform heels glitter windbreaker,0.0,,135.0,2024-03-04,-0.99,fashion
camel coat pullover,0.0,,129.0,2024-03-14,-0.99,fashion
camel coat romper,0.0,,106.0,2024-03-08,-0.99,fashion
camel coat shirt,58.0,2025-03-25,0.0,,58.0,fashion
camel coat sneakers,75.0,2025-03-21,0.0,,75.0,fashion
camel coat tailored trousers cashmere bomber jacket,101.0,2025-03-26,0.0,,101.0,fashion
camel coat tailored trousers cashmere cardigan,247.0,2025-03-07,0.0,,247.0,fashion
camel coat tailored trousers cashmere dress,50.0,2025-03-03,133.0,2024-03-30,-0.62,fashion
camel coat tailored trousers cashmere jacket,82.0,2025-03-25,0.0,,82.0,fashion
camel coat tailored trousers cashmere jeans,0.0,,75.0,2024-03-25,-0.99,fashion
camel coat tailored trousers cashmere pullover,115.0,2025-03-27,134.0,2024-03-27,-0.14,fashion
camel coat tailored trousers cashmere shorts,0.0,,99.0,2024-03-12,-0.99,fashion
camel coat tailored trousers cashmere sweater,148.0,2025-03-04,107.0,2024-03-15,0.38,fashion
camel coat tailored trousers cashmere tshirt,109.0,2025-03-25,0.0,,109.0,fashion
camel coat tailored trousers combat boot shirt,0.0,,84.0,2024-03-06,-0.99,fashion
camel coat tailored trousers lace crop top,52.0,2025-03-18,0.0,,52.0,fashion
camel coat tailored trousers mesh blouse,61.0,2025-03-12,0.0,,61.0,fashion
camel coat tshirt,73.0,2025-03-09,0.0,,73.0,fashion
cardigan,2568.0,2025-03-01,2804.0,2024-03-02,-0.08,misc
cardigan beige cotton sandals,114.0,2025-03-16,0.0,,114.0,footwear
cardigan beige printed flats,0.0,,130.0,2024-03-27,-0.99,footwear
